DAY,PM25,PM10,SO2,NO,NO2
17-Feb-19,18,25,#DIV/0!,19,39
18-Feb-19,48,70,#DIV/0!,177,74
19-Feb-19,51,79,#DIV/0!,144,62
20-Feb-19,48,74,#DIV/0!,128,61
21-Feb-19,44,70,#DIV/0!,124,63
22-Feb-19,40,63,#DIV/0!,79,59
23-Feb-19,15,19,#DIV/0!,8,28
24-Feb-19,10,13,#DIV/0!,5,15
25-Feb-19,10,16,#DIV/0!,14,30
26-Feb-19,19,26,#DIV/0!,36,39
27-Feb-19,23,34,#DIV/0!,25,44
28-Feb-19,19,28,#DIV/0!,16,44
1-Mar-19,30,49,#DIV/0!,68,67
2-Mar-19,22,42,#DIV/0!,39,57
3-Mar-19,19,30,#DIV/0!,14,39
4-Mar-19,22,36,#DIV/0!,35,52
5-Mar-19,33,52,#DIV/0!,71,60
6-Mar-19,22,42,#DIV/0!,38,62
7-Mar-19,31,55,#DIV/0!,62,59
8-Mar-19,39,66,#DIV/0!,81,61
9-Mar-19,23,41,#DIV/0!,57,60
10-Mar-19,16,31,#DIV/0!,29,48
11-Mar-19,12,25,#DIV/0!,9,28
12-Mar-19,13,32,#DIV/0!,26,41
13-Mar-19,10,18,#DIV/0!,13,33
14-Mar-19,20,33,#DIV/0!,31,46
15-Mar-19,13,22,#DIV/0!,19,42
16-Mar-19,25,44,#DIV/0!,78,58
17-Mar-19,22,41,#DIV/0!,80,56
18-Mar-19,26,48,#DIV/0!,55,49
19-Mar-19,21,41,#DIV/0!,31,50
20-Mar-19,27,51,#DIV/0!,47,47
21-Mar-19,14,28,#DIV/0!,6,27
22-Mar-19,14,24,#DIV/0!,8,31
23-Mar-19,17,27,#DIV/0!,8,34
24-Mar-19,15,33,#DIV/0!,5,28
25-Mar-19,17,30,#DIV/0!,8,40
26-Mar-19,31,55,#DIV/0!,62,68
27-Mar-19,27,49,#DIV/0!,37,53
28-Mar-19,16,30,#DIV/0!,10,37
29-Mar-19,11,27,#DIV/0!,7,24
