DAY,BENMEAN,BENMIN,BENMAX,BEN2O,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O,SO2MEAN,SO2MIN,SO2MAX,SO2O
14-May,5.033179487,2.145833333,7.929230769,5.4,1.267361111,1.15,1.45,1.4,74.45833333,59.66666667,103.0833333,100.2,40.24305556,80,103.0833333,111.7,15.96428571,2.666666667,43.625,3.4,7.541666667,2.125,11.375,5
15-May,5.053402778,2.7625,8.369583333,9.6,1.285416667,0.5,1.879166667,2.1,82.58333333,38.5,135.375,148.3,43.75625,62.6,135.375,122,25.30357143,1.625,51.54166667,2.8,8.212585034,3.666666667,13.66666667,6.4
16-May,4.44,1.383333333,9.21625,10.2,1.321938776,0.316666667,2,2.2,76.7482493,17.625,132.0833333,139.8,38.80943044,49,132.0833333,132.6,17.0297619,1.666666667,53.16666667,2.3,7.587585034,4.083333333,14.70833333,7
17-May,4.989444444,3.25,8.454166667,5.8,1.442857143,0.779166667,2.220833333,1.4,82.19616977,57.5,118.25,72.5,43.82783385,73.9,118.25,118.8,12.28519669,1.75,22.5,6.7,7.320887446,2.541666667,15.75,4.8
18-May,4.095438034,2.425,8.52,5.6,1.28739648,0.4875,2.220833333,1.3,75.10584886,37.45833333,122.7826087,80.9,40.02793737,58,122.7826087,132.5,13.13975155,1.47826087,29.625,7.1,7.320652174,2.041666667,15.86956522,5.3
19-May,3.741996337,0.84375,6.8225,4.6,1.128571429,0.3875,1.8375,1.2,55.55952381,11.125,86.04166667,72.4,26.16061508,64.8,86.04166667,120.1,15.38365801,6.375,47.29166667,5.8,6.291666667,2.125,13.54166667,5.2
20-May,3.914305556,0.8875,6.881666667,4,1.163690476,0.483333333,2.320833333,1.1,59.6547619,14.45833333,102.0416667,81.8,30.11259921,59.8,102.0416667,94.1,12.11111111,2.791666667,18,3.5,6.25,2.541666667,10.20833333,5.8
21-May,2.224375,1.708333333,3.10625,2.6,0.870833333,0.345833333,2.325,0.8,38.95238095,10.20833333,102.3333333,52.5,25.9031746,46.7,102.3333333,78.5,19.45138889,2.708333333,29.08333333,12,5.791666667,2,9.833333333,5.8
22-May,2.957847222,1.68,3.965,0.7,1.126190476,0.525,2.3875,0.2,55.5297619,21.75,115,7,32.51121032,70,115,32,20.24305556,2.458333333,42.625,45.6,6.458333333,2,10.66666667,2.8
23-May,4.585849359,1.753846154,7.284166667,1.8,1.325,0.554166667,2.158333333,0.7,68.67261905,19.33333333,96.91666667,37.5,31.41349206,85.4,96.91666667,69,15.21683673,5.583333333,40.375,27.7,6.702380952,2.416666667,10,5.4
24-May,5.836509259,3.455555556,7.917083333,2,1.599042443,1.391666667,1.979166667,0.7,90.70663265,58.54166667,105.375,29.3,43.000411,88.8,105.375,78,8.591897233,2.625,15.34782609,23.2,7.574675325,3.166666667,13.45833333,2.4
25-May,5.012502588,2.573913043,7.470833333,1.6,1.407168737,0.930434783,1.8875,0.5,80.39906832,55.83333333,112.7083333,21.8,41.9713725,74.5,112.7083333,60,10.05383023,3.125,26.70833333,33.9,7.766045549,2.875,11.08333333,2.4
26-May,4.145777778,1.9,5.511666667,1.5,1.239880952,0.545833333,1.954166667,0.5,64.64880952,16.70833333,109.7083333,34.3,32.33660714,69.8,109.7083333,51.5,16.53571429,4.333333333,39.625,28.6,7.291666667,3.166666667,10.5,2
27-May,4.671770833,3.325,6.033333333,2.9,1.101190476,0.233333333,2.041666667,0.9,57.64880952,7.333333333,108.3333333,65,29.52619048,41.3,108.3333333,73.3,21.99404762,2.5,66.58333333,18.2,6.505952381,2.25,9.333333333,2.2
28-May,3.572916667,2.095416667,5.129583333,3.4,1.026785714,0.25,2.416666667,1.1,52.42857143,8.916666667,94.75,83,26.78531746,37.5,94.75,79.7,18.7797619,3.541666667,48.83333333,20.3,6.303571429,2.25,9,3
29-May,2.475470085,1.906153846,4.552083333,4.1,0.930952381,0.370833333,1.975,1.3,42.24404762,14.83333333,65.08333333,95.8,21.12261905,50.9,65.08333333,84.4,21.78409091,3.833333333,62.20833333,17.4,5.898809524,2.541666667,8.375,4.6
30-May,4.521603535,2.254166667,7.314583333,3.4,1.322153209,0.695833333,2.1875,1,71.24134199,36.125,108.4166667,64.1,36.66175144,65.8,108.4166667,82.2,12.96428571,3.125,30.25,25.8,5.722866419,2.833333333,8.125,4.4
31-May,4.766507937,2.545833333,8.1675,2.4,1.429166667,0.645833333,2.4125,0.8,80.51785714,27.45833333,135.375,49.2,41.22728175,65.8,135.375,78.8,11.14880952,1.416666667,25.75,27.3,5.363095238,2.666666667,9.041666667,4.8
